Channel,Time,Program
Sky Cinema 1,02:50,Annientamento
Sky Cinema 1,04:50,Duplicity
Sky Cinema 1,19:20,Old
Sky Cinema 1,23:15,Notre-Dame in fiamme
Sky Cinema 1,01:15,Zona 414
Sky Cinema 1,03:00,100X100Cinema
Sky Cinema 1,03:20,2012
SKY Cinema Family,19:15,Dragon Trainer
SKY Cinema Family,21:00,La fabbrica di cioccolato
SKY Cinema Family,22:55,Il lupo e il leone
SKY Cinema Family,00:40,C'e' tempo
SKY Cinema Family,02:25,Playmobil: The Movie
SKY Cinema Family,04:05,100% Lupo
SKY Cinema Family,05:40,Rock Dog 2
SKY Cinema Family,19:25,Peter Rabbit 2 - Un birbante in fuga
SKY Cinema Family,22:25,La musica nel cuore - August Rush
SKY Cinema Family,00:20,Il richiamo della foresta
SKY Cinema Family,01:50,Paddington
SKY Cinema Family,03:30,Paddington 2
SKY Cinema Family,05:15,Elfkins - Missione Best Bakery
Sky Cinema Romance,19:05,Past Lives
Sky Cinema Romance,21:00,Vi presento Joe Black
Sky Cinema Romance,00:00,Magic in The Moonlight
Sky Cinema Romance,01:40,Quel mostro di suocera
Sky Cinema Romance,03:20,Troppo azzurro
Sky Cinema Romance,04:50,"Prima ti sposo, poi ti rovino"
Sky Cinema Romance,19:20,Resta con me
Sky Cinema Romance,23:50,Questione di tempo
Sky Cinema Romance,02:00,Scusa ma ti voglio sposare
Sky Cinema Romance,03:50,To Rome with Love
Sky Cinema Romance,05:45,Il velo dipinto
Sky Cinema Collection,19:20,Mission: Impossible
Sky Cinema Collection,21:15,Top Gun
Sky Cinema Collection,23:10,La mummia (2017)
Sky Cinema Collection,01:00,Nato il quattro luglio
Sky Cinema Collection,03:25,Speciale Gangs of Milano Le nuove storie del Blocco
Sky Cinema Collection,03:40,Mission: Impossible Rogue Nation
Sky Cinema Collection,05:55,Oblivion
Sky Cinema Collection,18:05,Police
Sky Cinema Collection,19:50,La prima vacanza non si scorda mai
Sky Cinema Collection,21:45,Notre-Dame in fiamme
Sky Cinema Collection,23:45,Un sapore di ruggine e ossa
Sky Cinema Collection,01:50,Profumo - Storia di un assassino
Sky Cinema Collection,04:20,Qualcosa di troppo
Sky Cinema Action,19:10,John Wick
Sky Cinema Action,21:00,Justice League
Sky Cinema Action,23:05,Transformers 3
Sky Cinema Action,01:40,Star Trek
Sky Cinema Action,03:50,Monkey Man
Sky Cinema Action,05:55,Art Squad Gli artisti del furto
Sky Cinema Action,18:25,Transformers - La vendetta del caduto
Sky Cinema Action,23:50,La guerra dei mondi
Sky Cinema Action,01:50,Robin Hood principe dei ladri
Sky Cinema Action,04:15,Squadra 49
SKY TG24,18:00,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,18:30,TG24 Flash (live)
SKY TG24,18:33,L'intervista (live)
SKY TG24,19:00,TG24 1 ora - Sport - Meteo (live)
SKY TG24,20:00,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,20:30,TG24 mezz'ora - Sport - Meteo (live)
SKY TG24,21:00,Sky TG24 in 10 minuti
SKY TG24,21:10,Documentario
SKY TG24,19:30,TG24 MONDO
SKY TG24,20:20,TRIBU'
SKY TG24,21:30,TG24 MEZZ'ORA
Fox,18:05,I Griffin Giochi di ruolo
Fox,18:30,I Simpson La pesca di Ned
Fox,18:55,I Simpson Homerland
Fox,19:20,I Simpson La paura fa novanta XXIV
Fox,19:45,I Simpson Homerazzi
Fox,20:10,I Simpson Marge giocatrice
Fox,20:35,I Simpson Un out-out per Bart
Fox,21:00,Modern Family I nuovi arrivati
